,x,y
309,17.958559,13.394616
552,2.49996,9.521512
1193,11.731223,2.8328319
2003,11.427178,-39.480682
1574,-19.046186,1.0194774
1685,-28.37941,-6.9315867
1307,10.909163,7.716972
2110,15.147038,-40.111458
1707,0.8470142,19.932823
107,-12.347416,7.484818
884,-22.340548,18.372272
17,-5.279477,-12.382858
791,-20.935957,10.617271
412,-4.888077,1.8382926
324,-2.7795744,-19.96168
182,-22.28381,10.04292
658,-20.310518,-4.83901
2097,9.329644,-40.491528
410,-22.7849,11.134989
1213,-0.074457705,-6.466788
407,-5.5436172,2.1686769
1154,5.5554495,-14.1272955
1865,-2.198621,-5.0406795
594,-19.377892,10.868651
1889,-0.03767422,-11.601797
568,-9.299681,-3.1290212
1475,-26.040426,11.15218
1503,-25.815489,3.0437999
546,28.648449,2.8530822
1299,-2.3967648,4.330141
1181,12.830723,2.6558568
400,-14.791086,18.853287
1066,5.4003067,1.5934271
1932,0.434272,-19.934374
712,30.456318,-2.2171917
592,20.70358,-20.531612
1748,-29.641563,-8.553151
539,4.9986115,-6.7366977
1934,0.76109433,-20.799591
892,30.58537,2.8729625
1506,-25.457075,2.5749965
564,11.158489,-13.57573
781,-9.094582,9.627895
1830,-22.133377,-17.596825
618,29.522783,-3.507689
956,12.30484,12.133448
1380,-4.000052,-11.231001
1694,-0.6978152,3.5077999
2026,4.7826366,-40.719746
1281,3.3445528,-13.350719
1699,-19.49701,7.6839094
1383,-3.7417305,-10.84137
1025,14.929857,13.579077
429,-16.842037,-4.4062104
1325,6.015929,7.857787
974,31.842253,9.815725
1542,13.058079,3.3559988
1908,4.0752635,-10.611867
2109,17.767124,-43.64259
1219,-0.036294356,6.2436595
414,-4.8276944,2.0157843
1346,6.598339,5.2911277
668,18.336342,-10.772603
987,5.157502,15.592683
743,22.34791,5.342863
1914,-0.42142832,2.048165
321,-17.513786,8.185491
